ID;CPF;NOME;SOBRENOME;APELIDO;END;CIDADE;UF;GENDER;EMAIL;FONE_1;FONE_2;FOTO_URL;STATUS;TAGS;DATA_NASC;DATA_REGISTRO
1;123;David;Berto;Lindão;456789;SJC;SP;Masculino;meu_email;(11)968174624;;foto_david;Ativo;Nutri;05/05/1990;
2;124;Maria;Silva;paciente da Joana;456790;SJC;SP;Feminino;meu_email;(11)968174625;;foto_joana;Ativo;Nutri;06/05/1990;
3;125;josé;Marinho;The Rock;456791;SJC;SP;Outros;meu_email;(11)968174626;;the_rock;Ativo;Nutri;;
4;126;David;;;456792;SJC;SP;Masculino;meu_email;(11)968174627;;;Ativo;Nutri;;
5;127;Maria;;;456793;SJC;SP;Feminino;meu_email;(11)968174628;;;Ativo;Nutri;;
6;128;josé;;;456794;SJC;SP;Outros;meu_email;(11)968174629;;;Ativo;Nutri;;
7;129;David;;;456795;SJC;SP;Masculino;meu_email;(11)968174630;;;Ativo;Nutri;;
8;130;Maria;;;456796;SJC;SP;Feminino;meu_email;(11)968174631;;;Ativo;Nutri;;
9;131;josé;;;456797;SJC;SP;Outros;meu_email;(11)968174632;;;Ativo;Nutri;;
10;132;David;;;456798;SJC;SP;Masculino;meu_email;(11)968174633;;;Ativo;Nutri;;
